original,LEO tamil,2023,2h 41min,Pen-pal bond between ex-convict and boy unearths hidden truths, https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo 
original,Chithha,2023,2h 18min,Man's search for missing niece exposes dark secrets and demons, https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo 
original,Karumegangal Kalaiginrana,2023,2h 15min,Friends navigate life love and laughter in a village forging unbreakable bonds, https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg ,https://streamtape.com/e/Rpwgb9LYMQfdPxo
original,Por Thozhil,2023,1h 49min,Migrant workers fight for rights and dignity against exploitation and injustice, https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo 
original,Jailer,2023,2h 50min,Rajinikanth stars as a prison warden in an action-packed film (releasing December 2023), https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo 
original,Adipurush,2023,3h 28min,Grand epic retelling Ramayana with stunning visuals and star-studded cast, https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo
original,Ponniyin Selvan: Part Two,2023,2h 56min,Concluding chapter of Chola dynasty saga chronicling its rise and fall, https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo
original,Varisu,2023,2h 50min,Family drama starring Vijay (releasing January 2024), https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo
original,Fight Club,2023,1h 58min,Gritty boxing drama follows underdog fighter's journey, https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo
original,Mark Antony,2023,2h 50min,Gangster film with a unique father-son relationship and unexpected twists, https://www.themoviedb.org/t/p/w500/8d3Ip56n9AmewrZjsPicmHeU7bR.jpg , https://streamtape.com/e/Rpwgb9LYMQfdPxo
